scenario,buy_fw,rent_fw
base,20757559.580041695,-30094470.408572253
property_stagnant,3163950.9771540044,-30094470.408572253
invest_high,20757559.580041695,-22775133.854815356
invest_low,20757559.580041695,-26939941.254988115
rate_up,20163165.439063337,14936090.676616438
rent_high,20757559.580041695,-160481863.55290928
rent_low,20757559.580041695,51879085.97453623
