age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
43,657336.9429100263,303426.6874244615,0.0,-2127.6527689029463,301299.0346555585,301299.0346555585,356037.90825446777,3524729.526519495,3524729.526519495
44,683630.4206264273,303426.6874244615,0.0,-1444.6284680233803,301982.0589564381,301982.0589564381,381648.3616699892,3770015.964907836,3770015.964907836
45,710975.6374514845,321905.37268861115,0.0,384533.8725519631,706439.2452405742,706439.2452405742,4536.392210910213,4418450.955003348,4418450.955003348
46,739414.6629495439,321905.37268861115,0.0,-18516.010462640726,303389.3622259704,303389.3622259704,436025.3007235735,4709226.511390942,4709226.511390942
47,768991.2494675256,341509.4098853476,0.0,-37395.21680708928,304114.1930782583,304114.1930782583,464877.0563892673,5001477.150381219,5001477.150381219
48,799750.8994462267,341509.4098853476,0.0,-36655.88933775568,304853.5205475919,304853.5205475919,494897.37889863475,5314924.661570149,5314924.661570149
49,831740.9354240757,362307.33294736524,0.0,-56699.69838105311,305607.63456631213,305607.63456631213,526133.3008577635,5630269.689499006,5630269.689499006
50,865010.5728410388,362307.33294736524,0.0,-55930.50208195846,306376.8308654068,306376.8308654068,558633.741975632,5968458.065681978,5968458.065681978
51,899610.9957546804,384371.8495238598,0.0,-77210.43843337643,307161.41109048337,307161.41109048337,592449.5846641969,6309039.691846341,6309039.691846341
52,935595.4355848677,384371.8495238598,0.0,-76410.16660379834,307961.68292006146,307961.68292006146,627633.7526648063,6674262.3036717875,6674262.3036717875
53,973019.2530082624,407780.0951598628,0.0,-99002.13497363165,308777.9601862311,308777.9601862311,664241.2928220313,7042458.529955182,7042458.529955182
54,1011940.023128593,407780.0951598628,0.0,-98169.53216213855,309610.5629977242,309610.5629977242,702329.4601308687,7437261.094889907,7437261.094889907
55,1052417.6240537367,432613.9029550984,0.0,-122154.08508965129,310459.81786544714,310459.81786544714,741957.8061882895,7835715.28644255,7835715.28644255
56,1094514.3290158862,432613.9029550984,0.0,-121287.84512457391,311326.0578305245,311326.0578305245,783188.2711853617,8262927.511368955,8262927.511368955
57,1138294.9021765217,458960.0896450639,0.0,-146750.46705016046,312209.62259490346,312209.62259490346,826085.2795816183,8694581.97011462,8694581.97011462
58,1183826.6982635825,458960.0896450639,0.0,-145849.23099049396,313110.85865456995,313110.85865456995,870715.8396090125,9157353.477032151,9157353.477032151
59,1231179.766194126,486910.7591044483,0.0,-172880.6396690185,314030.1194354298,314030.1194354298,917149.6467586963,9625487.580755385,9625487.580755385
60,1280426.956841891,486910.7591044483,0.0,104317.66194688663,591228.4210513349,591228.4210513349,689198.5357905559,10403589.37335515,10403589.37335515
61,1331644.0351155666,516563.6243339092,0.0,-467787.279597174,48776.34473673514,48776.34473673516,1282867.6903788312,10664053.349892838,10664053.349892838
62,1384909.7965201894,516563.6243339092,0.0,-466811.7527024393,49751.87163146984,49751.87163146987,1335157.9248887193,10943725.331682898,10943725.331682898
63,1440306.188380997,548022.3490558442,0.0,-497275.439991745,50746.909064099236,50746.90906409925,1389559.2793168977,11212510.664908957,11212510.664908957
64,1497918.4359162368,548022.3490558442,0.0,-496260.501810463,51761.84724538123,51761.847245381214,1446156.5886708556,11501125.90964212,11501125.90964212
65,0.0,581396.9101133451,0.0,0.0,0.0,581396.9101133451,-581396.9101133451,11724807.813203724,11724807.813203724
66,0.0,581396.9101133451,0.0,0.0,0.0,581396.9101133451,-581396.9101133451,11964147.45001464,11964147.45001464
