age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
43,657336.9429100263,204991.92671125842,0.0,27562.148760928132,232554.07547218655,232554.07547218655,424782.86743783974,3314426.2244365853,3314426.2244365853
44,683630.4206264273,204991.92671125842,0.0,28245.173061807756,233237.09977306618,233237.09977306618,450393.3208533611,3574681.2332089543,3574681.2332089543
45,710975.6374514845,209112.2644381547,0.0,428582.0216190477,637694.2860572024,637694.2860572024,73281.35139428207,4253490.941152629,4253490.941152629
46,739414.6629495439,209112.2644381547,0.0,25532.138604443782,234644.40304259848,234644.40304259848,504770.2599069455,4576767.445637757,4576767.445637757
47,768991.2494675256,213315.4209533616,0.0,22053.812941524724,235369.23389488633,235369.23389488633,533622.0155726394,4919194.979773926,4919194.979773926
48,799750.8994462267,213315.4209533616,0.0,22793.140410858323,236108.56136421993,236108.56136421993,563642.3380820068,5286331.768768959,5286331.768768959
49,831740.9354240757,217603.0609145242,0.0,19259.614468416054,236862.67538294024,236862.67538294024,594878.2600411355,5675634.607051202,5675634.607051202
50,865010.5728410388,217603.0609145242,0.0,20028.810767510702,237631.8716820349,237631.8716820349,627378.7011590039,6092957.840312297,6092957.840312297
51,899610.9957546804,221976.88243890612,0.0,16439.569468205358,238416.45190711148,238416.45190711148,661194.5438475689,6535904.458602364,6535904.458602364
52,935595.4355848677,221976.88243890612,0.0,17239.841297783452,239216.72373668957,239216.72373668957,696378.7118481782,7010657.612002314,7010657.612002314
53,973019.2530082624,226438.6177759281,0.0,13594.383226931153,240033.00100285927,240033.00100285927,732986.2520054032,7514998.028069408,7514998.028069408
54,1011940.023128593,226438.6177759281,0.0,14426.986038424191,240865.6038143523,240865.6038143523,771074.4193142407,8055474.876072691,8055474.876072691
55,1052417.6240537367,230990.03399322426,0.0,10724.82468885096,241714.85868207522,241714.85868207522,810702.7653716614,8630082.942086631,8630082.942086631
56,1094514.3290158862,230990.03399322426,0.0,11591.064653928333,242581.0986471526,242581.0986471526,851933.2303687336,9245779.812686624,9245779.812686624
57,1138294.9021765217,235632.9336764881,0.0,7831.729735043424,243464.6634115315,243464.6634115315,894830.2387649901,9900816.12930973,9900816.12930973
58,1183826.6982635825,235632.9336764881,0.0,8732.965794709948,244365.89947119803,244365.89947119803,939460.7987923844,10602606.224156123,10602606.224156123
59,1231179.766194126,240369.1556433855,0.0,4916.004608672374,245285.16025205786,245285.16025205786,985894.6059420683,11349704.664455725,11349704.664455725
60,1280426.956841891,240369.1556433855,0.0,350859.26540794945,591228.4210513349,591228.4210513349,689198.535790556,12495043.256375575,12495043.256375575
