age,buy_net_worth,rent_net_worth
30,6257206.283090733,903913.4405830587
40,6380728.130590148,1347116.691418532
50,6563570.639413712,1637078.2262881233
60,6834222.218139923,655955.3835784993
65,6861208.882946503,-1922524.1649644002
85,3163950.9771540044,-30094470.408572253
