age,buy_net_worth,rent_net_worth
30,6257206.283090733,962032.3020472701
40,8444226.406654881,1768102.291088287
50,11400238.047430199,2884203.3189305654
60,15397797.045277897,3455327.270082346
65,17465502.256816037,1979510.7749012283
85,20757559.580041695,-22775133.854815356
