age,buy_net_worth,rent_net_worth
30,6257206.283090733,903913.4405830587
40,8444226.406654881,1347116.691418532
50,11400238.047430199,1637078.2262881233
60,15397797.045277897,655955.3835784993
65,17465502.256816037,-1922524.1649644002
85,20757559.580041695,-30094470.408572253
