age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
40,584370.1486668843,0.0,0.0,267147.81961157825,21941.899559905632,10239.553127955962,0.0,0.0,0.0,0.0,285040.87636744446,278968.7976420165,8063498.276064733,8342467.07370675
41,607744.9546135598,0.0,0.0,267147.81961157825,22380.737551103743,10444.344190515081,0.0,0.0,0.0,0.0,307772.0532603627,290127.5495476972,8305403.224346675,8595530.773894371
42,632054.7527981021,0.0,0.0,267147.81961157825,22828.35230212582,10653.231074325384,0.0,0.0,0.0,0.0,331425.3498100726,301732.6515296051,8554565.321077075,8856297.97260668
43,657336.9429100263,0.0,0.0,267147.81961157825,23284.919348168336,10866.295695811892,0.0,0.0,0.0,0.0,356037.90825446777,313801.9575907893,8811202.280709388,9125004.238300176
44,683630.4206264273,0.0,0.0,267147.81961157825,23750.617735131702,11083.621609728129,0.0,0.0,0.0,0.0,381648.3616699892,326354.0358944209,9075538.34913067,9401892.38502509
45,710975.6374514845,0.0,0.0,267147.81961157825,24225.63008983434,11305.294041922692,0.0,403760.501497239,0.0,0.0,4536.392210910213,339408.1973301977,9347804.49960459,9687212.696934788
46,739414.6629495439,0.0,0.0,267147.81961157825,24710.142691631027,11531.399922761146,0.0,0.0,0.0,0.0,436025.3007235735,352984.5252234056,9628238.634592729,9981223.159816135
47,768991.2494675256,0.0,0.0,267147.81961157825,25204.345545463646,11762.02792121637,0.0,0.0,0.0,0.0,464877.0563892673,367103.90623234183,9917085.79363051,10284189.699862853
48,799750.8994462267,0.0,0.0,267147.81961157825,25708.43245637292,11997.268479640697,0.0,0.0,0.0,0.0,494897.37889863475,381788.06248163554,10214598.367439426,10596386.429921063
49,831740.9354240757,0.0,0.0,267147.81961157825,26222.60110550038,12237.21384923351,0.0,0.0,0.0,0.0,526133.3008577635,397059.584980901,10521036.31846261,10918095.903443512
50,865010.5728410388,0.0,0.0,267147.81961157825,26747.053127610387,12481.958126218182,0.0,0.0,0.0,0.0,558633.741975632,412941.96838013706,10836667.408016488,11249609.376396624
51,899610.9957546804,0.0,0.0,267147.81961157825,27281.994190162593,12731.597288742545,0.0,0.0,0.0,0.0,592449.5846641969,429459.64711534255,11161767.430256983,11591227.077372326
52,935595.4355848677,0.0,0.0,267147.81961157825,27827.634073965848,12986.229234517396,0.0,0.0,0.0,0.0,627633.7526648063,446638.0329999563,11496620.453164693,11943258.48616465
53,973019.2530082624,0.0,0.0,267147.81961157825,28384.186755445167,13245.953819207745,0.0,0.0,0.0,0.0,664241.2928220313,464503.55431995454,11841519.066759635,12306022.62107959
54,1011940.023128593,0.0,0.0,267147.81961157825,28951.87049055407,13510.872895591901,0.0,0.0,0.0,0.0,702329.4601308687,483083.69649275276,12196764.638762424,12679848.335255176
55,1052417.6240537367,0.0,0.0,267147.81961157825,29530.907900365153,13781.09035350374,0.0,0.0,0.0,0.0,741957.8061882895,502407.04435246286,12562667.577925297,13065074.622277759
56,1094514.3290158862,0.0,0.0,267147.81961157825,30121.526058372452,14056.712160573814,0.0,0.0,0.0,0.0,783188.2711853617,522503.3261265614,12939547.605263056,13462050.931389617
57,1138294.9021765217,0.0,0.0,267147.81961157825,30723.956579539903,14337.84640378529,0.0,0.0,0.0,0.0,826085.2795816183,543403.4591716238,13327734.033420948,13871137.492592571
58,1183826.6982635825,0.0,0.0,267147.81961157825,31338.435711130704,14624.603331860997,0.0,0.0,0.0,0.0,870715.8396090126,565139.5975384888,13727566.054423576,14292705.651962064
59,1231179.766194126,0.0,0.0,267147.81961157825,31965.204425353317,14917.095398498217,0.0,0.0,0.0,0.0,917149.6467586963,587745.1814400284,14139393.036056284,14727138.217496313
60,1280426.956841891,0.0,0.0,0.0,32604.508513860386,15215.43730646818,0.0,543408.4752310064,0.0,0.0,689198.535790556,611254.9886976295,14563574.827137973,15174829.815835603
61,1331644.0351155666,0.0,0.0,0.0,33256.59868413759,15519.746052597546,0.0,0.0,0.0,0.0,1282867.6903788315,635705.1882455348,15000482.071952112,15636187.260197647
62,1384909.7965201894,0.0,0.0,0.0,33921.73065782034,15830.140973649495,0.0,0.0,0.0,0.0,1335157.9248887196,661133.3957753562,15450496.534110676,16111629.929886032
63,1440306.188380997,0.0,0.0,0.0,34600.16527097675,16146.743793122485,0.0,0.0,0.0,0.0,1389559.2793168977,687578.7316063705,15914011.430133997,16601590.161740366
64,1497918.4359162368,0.0,0.0,0.0,35292.16857639629,16469.678668984936,0.0,0.0,0.0,0.0,1446156.5886708556,715081.8808706254,16391431.773038017,17106513.65390864
65,0.0,0.0,0.0,0.0,35998.01194792422,16799.072242364633,0.0,0.0,422079.3681557289,432631.3523596221,369282.28396544006,743685.1561054505,16883174.726229157,17194228.529974986
66,0.0,0.0,0.0,0.0,36717.9721868827,17135.053687211926,0.0,0.0,422079.3681557289,876078.4885282348,368226.3422816343,773432.5623496685,17389669.968016032,17287024.04183747
67,0.0,0.0,0.0,0.0,37452.331630620356,17477.75476095617,0.0,0.0,422079.3681557289,1330611.8031010625,367149.2817641524,804369.8648436553,17911360.067056514,17385118.128799107
68,0.0,0.0,0.0,0.0,38201.37826323276,17827.30985617529,0.0,0.0,422079.3681557289,1796508.450538211,366050.6800363209,836544.6594374015,18448700.86906821,17488737.0779674
69,0.0,0.0,0.0,0.0,38965.405828497416,18183.856053298794,0.0,0.0,422079.3681557289,2274052.5141612883,364930.10627393273,870006.4458148975,19002161.895140257,17598115.826793864
70,0.0,0.0,0.0,0.0,39744.713945067364,18547.53317436477,0.0,0.0,422079.3681557289,2763535.1793749426,363787.12103629677,904806.7036474935,19572226.751994465,17713498.276267014
71,0.0,0.0,0.0,0.0,40539.60822396872,18918.48383785207,0.0,0.0,422079.3681557289,3265254.911218938,362621.2760939081,940998.9717933933,20159393.5545543,17835137.615128756
72,0.0,0.0,0.0,0.0,41350.40038844809,19296.85351460911,0.0,0.0,422079.3681557289,3779517.636359033,361432.1142526717,978638.930665129,20764175.361190926,17963296.655497022
73,0.0,0.0,0.0,0.0,42177.408396217055,19682.790584901293,0.0,0.0,422079.3681557289,4306636.929627631,360219.1691746106,1017784.4878917342,21387100.622026656,18098248.18029076
74,0.0,0.0,0.0,0.0,43020.956564141394,20076.44639659932,0.0,0.0,422079.3681557289,4846934.205227943,358981.9651949882,1058495.8674074037,22028713.640687454,18240275.302866913
75,0.0,0.0,0.0,0.0,43881.37569542423,20477.975324531304,0.0,731356.2615904037,422079.3681557289,5400738.912718263,-373636.2444546304,727199.4576490694,22689575.04990808,18016035.594838887
76,0.0,0.0,0.0,0.0,44759.00320933271,20887.53483102193,0.0,0.0,422079.3681557289,5968388.737895842,356432.8301153743,756287.4359550321,23370262.30140532,18158160.999464512
77,0.0,0.0,0.0,0.0,45654.18327351936,21305.28552764237,0.0,0.0,422079.3681557289,6550229.808702859,355119.89935456717,786538.9333932335,24071370.170447484,18307679.295137856
78,0.0,0.0,0.0,0.0,46567.26693898976,21731.39123819522,0.0,0.0,422079.3681557289,7146616.906280052,353780.7099785439,818000.4907289628,24793511.275560908,18464894.86000982
79,0.0,0.0,0.0,0.0,47498.61227776955,22166.019062959123,0.0,0.0,422079.3681557289,7757913.681296675,352414.73681500024,850720.5103581214,25537316.613827735,18630123.442889184
80,0.0,0.0,0.0,0.0,48448.58452332494,22609.339444218305,0.0,0.0,422079.3681557289,8384492.875688713,351021.4441881857,884749.3307724462,26303436.11224257,18803692.5673263
81,0.0,0.0,0.0,0.0,49417.55621379144,23061.526233102675,0.0,0.0,422079.3681557289,9026736.549940553,349600.28570883477,920139.3040033442,27092539.195609845,18985941.949672636
82,0.0,0.0,0.0,0.0,50405.90733806727,23522.756757764728,0.0,0.0,422079.3681557289,9685036.316048687,348150.7040598969,956944.8761634779,27905315.37147814,19177223.931592934
83,0.0,0.0,0.0,0.0,51414.02548482861,23993.211892920022,0.0,0.0,422079.3681557289,10359793.576309526,346672.13077798026,995222.671210017,28742474.832622487,19377903.92752298
84,0.0,0.0,0.0,0.0,52442.30599452519,24473.076130778427,0.0,0.0,422079.3681557289,11051419.768076885,345163.9860304253,1035031.5780584178,29604749.07760116,19588360.887582693
85,0.0,0.0,0.0,0.0,53491.152114415694,24962.537653393993,0.0,0.0,0.0,11327705.262278806,-78453.68976780969,997979.1514129449,30492891.549929198,20163165.439063337
