age,buy_net_worth,rent_net_worth
30,6257206.283090733,850382.3200604867
40,8444226.406654881,1017353.6078181909
50,11400238.047430199,842411.6290241999
60,15397797.045277897,-690683.7318972468
65,17465502.256816037,-3457392.9956824463
85,20757559.580041695,-26939941.254988115
