age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
43,657336.9429100263,445754.0144642627,0.0,-213199.93899207615,232554.07547218655,232554.07547218655,424782.86743783974,298353.38343553833,298353.38343553833
44,683630.4206264273,445754.0144642627,0.0,-212516.91469119652,233237.09977306618,233237.09977306618,450393.3208533611,106721.2055848295,106721.2055848295
45,710975.6374514845,491443.80094684963,0.0,146250.48511035275,637694.2860572024,637694.2860572024,73281.35139428207,260442.17508612032,260442.17508612032
46,739414.6629495439,491443.80094684963,0.0,-256799.39790425115,234644.40304259848,234644.40304259848,504770.2599069454,21873.729437897593,21873.729437897593
47,768991.2494675256,541816.7905439017,0.0,-306447.5566490154,235369.23389488633,235369.23389488633,533622.0155726393,-283042.66615046497,-283042.66615046497
48,799750.8994462267,541816.7905439017,0.0,-305708.2291796818,236108.56136421993,236108.56136421993,563642.3380820067,-608563.8819606793,-608563.8819606793
49,831740.9354240757,597353.0115746517,0.0,-360490.3361917115,236862.67538294024,236862.67538294022,594878.2600411355,-1011653.6898896383,-1011653.6898896383
50,865010.5728410388,597353.0115746517,0.0,-359721.1398926168,237631.8716820349,237631.87168203492,627378.7011590039,-1442190.5880745298,-1442190.5880745298
51,899610.9957546804,658581.6952610535,0.0,-420165.24335394206,238416.45190711148,238416.45190711145,661194.5438475689,-1963309.172593689,-1963309.172593689
52,935595.4355848677,658581.6952610535,0.0,-419364.97152436397,239216.72373668957,239216.72373668954,696378.7118481782,-2520105.786199611,-2520105.786199611
53,973019.2530082624,726086.3190253115,0.0,-486053.31802245224,240033.00100285927,240033.00100285927,732986.2520054032,-3182566.5092560365,-3182566.5092560365
54,1011940.023128593,726086.3190253115,0.0,-485220.7152109592,240865.6038143523,240865.6038143523,771074.4193142407,-3890566.8801149186,-3890566.8801149186
55,1052417.6240537367,800510.166725406,0.0,-558795.3080433307,241714.85868207522,241714.85868207528,810702.7653716614,-4721701.869766294,-4721701.869766294
56,1094514.3290158862,800510.166725406,0.0,-557929.0680782534,242581.0986471526,242581.09864715254,851933.2303687336,-5610150.068728188,-5610150.068728188
57,1138294.9021765217,882562.45881476,0.0,-639097.7954032285,243464.6634115315,243464.66341153148,894830.2387649902,-6641958.368942389,-6641958.368942389
58,1183826.6982635825,882562.45881476,0.0,-638196.559343562,244365.89947119803,244365.89947119798,939460.7987923846,-7745092.014111919,-7745092.014111919
59,1231179.766194126,973025.110843273,0.0,-727739.9505912152,245285.16025205786,245285.16025205783,985894.6059420683,-9014988.40569097,-9014988.40569097
60,1280426.956841891,973025.110843273,0.0,-381796.68979193806,591228.4210513349,591228.4210513349,689198.535790556,-10027834.283881277,-10027834.283881277
61,1331644.0351155666,1072760.1847047084,0.0,-1023983.8399679733,48776.34473673514,48776.344736735104,1282867.6903788315,-11753766.52372094,-11753766.52372094
62,1384909.7965201894,1072760.1847047084,0.0,-1023008.3130732386,49751.87163146984,49751.87163146981,1335157.9248887196,-13599538.493454646,-13599538.493454646
63,1440306.188380997,1182718.1036369412,0.0,-1131971.194572842,50746.909064099236,50746.90906409919,1389559.2793168977,-15683477.382569315,-15683477.382569315
64,1497918.4359162368,1182718.1036369412,0.0,-1130956.25639156,51761.84724538123,51761.847245381214,1446156.5886708556,-17912277.055740725,-17912277.055740725
65,0.0,1303946.7092597277,0.0,0.0,0.0,1303946.7092597277,-1303946.7092597277,-20470083.158902302,-20470083.158902302
66,0.0,1303946.7092597277,0.0,0.0,0.0,1303946.7092597277,-1303946.7092597277,-23206935.689285193,-23206935.689285193
67,0.0,1437601.24695885,0.0,0.0,0.0,1437601.24695885,-1437601.24695885,-26269022.43449401,-26269022.43449401
68,0.0,1437601.24695885,0.0,0.0,0.0,1437601.24695885,-1437601.24695885,-29545455.251867443,-29545455.251867443
69,0.0,1584955.3747721321,0.0,0.0,0.0,1584955.3747721321,-1584955.3747721321,-33198592.4942703,-33198592.4942703
70,0.0,1584955.3747721321,0.0,0.0,0.0,1584955.3747721321,-1584955.3747721321,-37107449.343641356,-37107449.343641356
71,0.0,1747413.3006862756,0.0,0.0,0.0,1747413.3006862756,-1747413.3006862756,-41452384.09838253,-41452384.09838253
72,0.0,1747413.3006862756,0.0,0.0,0.0,1747413.3006862756,-1747413.3006862756,-46101464.28595559,-46101464.28595559
