age,buy_net_worth,rent_net_worth
30,6257206.283090733,856448.7051193262
40,8444226.406654881,729945.6546459172
50,11400238.047430199,-1442190.5880745298
60,15397797.045277897,-10027834.283881277
65,17465502.256816037,-20470083.158902302
85,20757559.580041695,-160481863.55290928
