age,buy_net_worth,rent_net_worth
30,6188461.323907361,1030777.261230642
40,8342467.07370675,2853145.182010015
50,11249609.376396624,5968458.065681978
60,15174829.815835603,10403589.37335515
65,17194228.529974986,11724807.813203724
85,20163165.439063337,14936090.676616438
