age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
40,584370.1486668843,0.0,0.0,198402.86042820633,21941.899559905632,10239.553127955962,0.0,0.0,0.0,0.0,353785.8355508164,380728.1305901478,8063498.276064733,8444226.406654881
41,607744.9546135598,0.0,0.0,198402.86042820633,22380.737551103743,10444.344190515081,0.0,0.0,0.0,0.0,376517.01244373457,395957.25581375376,8305403.224346675,8701360.480160428
42,632054.7527981021,0.0,0.0,198402.86042820633,22828.35230212582,10653.231074325384,0.0,0.0,0.0,0.0,400170.30899344455,411795.54604630393,8554565.321077075,8966360.867123378
43,657336.9429100263,0.0,0.0,198402.86042820633,23284.919348168336,10866.295695811892,0.0,0.0,0.0,0.0,424782.86743783974,428267.3678881561,8811202.280709388,9239469.648597544
44,683630.4206264273,0.0,0.0,198402.86042820633,23750.617735131702,11083.621609728129,0.0,0.0,0.0,0.0,450393.3208533611,445398.06260368234,9075538.34913067,9520936.411734352
45,710975.6374514845,0.0,0.0,198402.86042820633,24225.63008983434,11305.294041922692,0.0,403760.501497239,0.0,0.0,73281.35139428219,463213.9851078296,9347804.49960459,9811018.48471242
46,739414.6629495439,0.0,0.0,198402.86042820633,24710.142691631027,11531.399922761146,0.0,0.0,0.0,0.0,504770.2599069454,481742.54451214283,9628238.634592729,10109981.179104872
47,768991.2494675256,0.0,0.0,198402.86042820633,25204.345545463646,11762.02792121637,0.0,0.0,0.0,0.0,533622.0155726393,501012.2462926286,9917085.79363051,10418098.039923139
48,799750.8994462267,0.0,0.0,198402.86042820633,25708.43245637292,11997.268479640697,0.0,0.0,0.0,0.0,563642.3380820067,521052.7361443337,10214598.367439426,10735651.10358376
49,831740.9354240757,0.0,0.0,198402.86042820633,26222.60110550038,12237.21384923351,0.0,0.0,0.0,0.0,594878.2600411355,541894.8455901071,10521036.31846261,11062931.164052717
50,865010.5728410388,0.0,0.0,198402.86042820633,26747.053127610387,12481.958126218182,0.0,0.0,0.0,0.0,627378.7011590039,563570.6394137115,10836667.408016488,11400238.047430199
51,899610.9957546804,0.0,0.0,198402.86042820633,27281.994190162593,12731.597288742545,0.0,0.0,0.0,0.0,661194.5438475689,586113.46499026,11161767.430256983,11747880.895247243
52,935595.4355848677,0.0,0.0,198402.86042820633,27827.634073965848,12986.229234517396,0.0,0.0,0.0,0.0,696378.7118481782,609558.0035898704,11496620.453164693,12106178.456754563
53,973019.2530082624,0.0,0.0,198402.86042820633,28384.186755445167,13245.953819207745,0.0,0.0,0.0,0.0,732986.2520054032,633940.3237334653,11841519.066759635,12475459.3904931
54,1011940.023128593,0.0,0.0,198402.86042820633,28951.87049055407,13510.872895591901,0.0,0.0,0.0,0.0,771074.4193142407,659297.9366828039,12196764.638762424,12856062.575445227
55,1052417.6240537367,0.0,0.0,198402.86042820633,29530.907900365153,13781.09035350374,0.0,0.0,0.0,0.0,810702.7653716614,685669.8541501161,12562667.577925297,13248337.432075413
56,1094514.3290158862,0.0,0.0,198402.86042820633,30121.526058372452,14056.712160573814,0.0,0.0,0.0,0.0,851933.2303687336,713096.6483161207,12939547.605263056,13652644.253579177
57,1138294.9021765217,0.0,0.0,198402.86042820633,30723.956579539903,14337.84640378529,0.0,0.0,0.0,0.0,894830.2387649902,741620.5142487655,13327734.033420948,14069354.547669714
58,1183826.6982635825,0.0,0.0,198402.86042820633,31338.435711130704,14624.603331860997,0.0,0.0,0.0,0.0,939460.7987923846,771285.3348187162,13727566.054423576,14498851.389242291
59,1231179.766194126,0.0,0.0,198402.86042820633,31965.204425353317,14917.095398498217,0.0,0.0,0.0,0.0,985894.6059420683,802136.7482114648,14139393.036056284,14941529.78426775
60,1280426.956841891,0.0,0.0,0.0,32604.508513860386,15215.43730646818,0.0,543408.4752310064,0.0,0.0,689198.535790556,834222.2181399234,14563574.827137973,15397797.045277897
61,1331644.0351155666,0.0,0.0,0.0,33256.59868413759,15519.746052597546,0.0,0.0,0.0,0.0,1282867.6903788315,867591.1068655204,15000482.071952112,15868073.178817632
62,1384909.7965201894,0.0,0.0,0.0,33921.73065782034,15830.140973649495,0.0,0.0,0.0,0.0,1335157.9248887196,902294.7511401412,15450496.534110676,16352791.285250818
63,1440306.188380997,0.0,0.0,0.0,34600.16527097675,16146.743793122485,0.0,0.0,0.0,0.0,1389559.2793168977,938386.5411857468,15914011.430133997,16852397.971319743
64,1497918.4359162368,0.0,0.0,0.0,35292.16857639629,16469.678668984936,0.0,0.0,0.0,0.0,1446156.5886708556,975922.0028331766,16391431.773038017,17367353.775871195
65,0.0,0.0,0.0,0.0,35998.01194792422,16799.072242364633,0.0,0.0,422079.3681557289,432631.3523596221,369282.28396544006,1014958.8829465037,16883174.726229157,17465502.256816037
66,0.0,0.0,0.0,0.0,36717.9721868827,17135.053687211926,0.0,0.0,422079.3681557289,876078.4885282348,368226.3422816343,1055557.238264364,17389669.968016032,17569148.717752162
