age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
23,300000.0,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42857.14285714287,257142.85714285713,0.0,257142.85714285713
24,312000.0,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54857.14285714287,524571.4285714285,0.0,524571.4285714285
25,324480.00000000006,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67337.14285714293,802697.1428571428,0.0,802697.1428571428
26,337459.2,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80316.34285714288,1091947.8857142858,0.0,1091947.8857142858
27,350957.5680000001,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93814.71085714296,1392768.6582857142,0.0,1392768.6582857142
28,364995.87072000006,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107853.01357714293,1705622.26176,0.0,1705622.26176
29,379595.7055488001,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122452.84840594299,2030990.009373257,0.0,2030990.009373257
30,394779.5337707521,0.0,0.0,198402.86042820633,18000.0,8400.0,225000.0,0.0,0.0,0.0,-55023.32665745425,257206.28309073322,6000000.0,6257206.283090733
31,410570.71512158215,0.0,0.0,198402.86042820633,18360.0,8568.0,0.0,0.0,0.0,0.0,185239.85469337582,267494.53441436257,6000000.0,6267494.534414362
32,426993.54372644547,0.0,0.0,198402.86042820633,18727.2,8739.36,0.0,0.0,0.0,0.0,201124.12329823914,278194.3157909371,6000000.0,6278194.315790937
33,444073.2854755033,0.0,0.0,198402.86042820633,19101.744000000002,8914.147200000001,0.0,0.0,0.0,0.0,217654.53384729696,289322.0884225746,6000000.0,6289322.088422575
34,461836.2168945235,0.0,0.0,198402.86042820633,19483.778879999998,9092.430144,0.0,0.0,0.0,0.0,234857.14744231713,300894.97195947764,6000000.0,6300894.971959477
35,480309.66557030444,0.0,0.0,198402.86042820633,19873.4544576,9274.27874688,0.0,0.0,0.0,0.0,252759.0719376181,312930.77083785675,6000000.0,6312930.770837856
36,499522.05219311663,0.0,0.0,198402.86042820633,20270.923546752,9459.7643218176,0.0,0.0,0.0,0.0,271388.5038963407,325448.00167137105,6000000.0,6325448.001671371
37,519502.9342808413,0.0,0.0,198402.86042820633,20676.342017687042,9648.959608253954,0.0,0.0,0.0,0.0,290774.772226694,338465.9217382259,6000000.0,6338465.921738226
38,540283.0516520749,0.0,0.0,198402.86042820633,21089.868858040783,9841.938800419033,0.0,0.0,0.0,0.0,310948.38356540876,352004.55860775494,6000000.0,6352004.558607755
39,561894.373718158,0.0,0.0,198402.86042820633,21511.6662352016,10038.777576427414,0.0,0.0,0.0,0.0,331941.06947832264,366084.74095206516,6000000.0,6366084.740952065
40,584370.1486668843,0.0,0.0,198402.86042820633,21941.899559905632,10239.553127955962,0.0,0.0,0.0,0.0,353785.8355508164,380728.1305901478,6000000.0,6380728.130590148
41,607744.9546135598,0.0,0.0,198402.86042820633,22380.737551103743,10444.344190515081,0.0,0.0,0.0,0.0,376517.01244373457,395957.25581375376,6000000.0,6395957.255813754
42,632054.7527981021,0.0,0.0,198402.86042820633,22828.35230212582,10653.231074325384,0.0,0.0,0.0,0.0,400170.30899344455,411795.54604630393,6000000.0,6411795.546046304
43,657336.9429100263,0.0,0.0,198402.86042820633,23284.919348168336,10866.295695811892,0.0,0.0,0.0,0.0,424782.86743783974,428267.3678881561,6000000.0,6428267.367888156
44,683630.4206264273,0.0,0.0,198402.86042820633,23750.617735131702,11083.621609728129,0.0,0.0,0.0,0.0,450393.3208533611,445398.06260368234,6000000.0,6445398.062603682
45,710975.6374514845,0.0,0.0,198402.86042820633,24225.63008983434,11305.294041922692,0.0,403760.501497239,0.0,0.0,73281.35139428219,463213.9851078296,6000000.0,6463213.98510783
46,739414.6629495439,0.0,0.0,198402.86042820633,24710.142691631027,11531.399922761146,0.0,0.0,0.0,0.0,504770.2599069454,481742.54451214283,6000000.0,6481742.544512142
47,768991.2494675256,0.0,0.0,198402.86042820633,25204.345545463646,11762.02792121637,0.0,0.0,0.0,0.0,533622.0155726393,501012.2462926286,6000000.0,6501012.246292628
48,799750.8994462267,0.0,0.0,198402.86042820633,25708.43245637292,11997.268479640697,0.0,0.0,0.0,0.0,563642.3380820067,521052.7361443337,6000000.0,6521052.736144334
49,831740.9354240757,0.0,0.0,198402.86042820633,26222.60110550038,12237.21384923351,0.0,0.0,0.0,0.0,594878.2600411355,541894.8455901071,6000000.0,6541894.845590107
50,865010.5728410388,0.0,0.0,198402.86042820633,26747.053127610387,12481.958126218182,0.0,0.0,0.0,0.0,627378.7011590039,563570.6394137115,6000000.0,6563570.639413712
51,899610.9957546804,0.0,0.0,198402.86042820633,27281.994190162593,12731.597288742545,0.0,0.0,0.0,0.0,661194.5438475689,586113.46499026,6000000.0,6586113.46499026
52,935595.4355848677,0.0,0.0,198402.86042820633,27827.634073965848,12986.229234517396,0.0,0.0,0.0,0.0,696378.7118481782,609558.0035898704,6000000.0,6609558.00358987
53,973019.2530082624,0.0,0.0,198402.86042820633,28384.186755445167,13245.953819207745,0.0,0.0,0.0,0.0,732986.2520054032,633940.3237334653,6000000.0,6633940.323733466
54,1011940.023128593,0.0,0.0,198402.86042820633,28951.87049055407,13510.872895591901,0.0,0.0,0.0,0.0,771074.4193142407,659297.9366828039,6000000.0,6659297.936682804
