age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
55,1052417.6240537367,0.0,0.0,198402.86042820633,29530.907900365153,13781.09035350374,0.0,0.0,0.0,0.0,810702.7653716614,685669.8541501161,6000000.0,6685669.854150116
56,1094514.3290158862,0.0,0.0,198402.86042820633,30121.526058372452,14056.712160573814,0.0,0.0,0.0,0.0,851933.2303687336,713096.6483161207,6000000.0,6713096.648316121
57,1138294.9021765217,0.0,0.0,198402.86042820633,30723.956579539903,14337.84640378529,0.0,0.0,0.0,0.0,894830.2387649902,741620.5142487655,6000000.0,6741620.514248766
58,1183826.6982635825,0.0,0.0,198402.86042820633,31338.435711130704,14624.603331860997,0.0,0.0,0.0,0.0,939460.7987923846,771285.3348187162,6000000.0,6771285.334818716
59,1231179.766194126,0.0,0.0,198402.86042820633,31965.204425353317,14917.095398498217,0.0,0.0,0.0,0.0,985894.6059420683,802136.7482114648,6000000.0,6802136.748211465
60,1280426.956841891,0.0,0.0,0.0,32604.508513860386,15215.43730646818,0.0,543408.4752310064,0.0,0.0,689198.535790556,834222.2181399234,6000000.0,6834222.218139923
61,1331644.0351155666,0.0,0.0,0.0,33256.59868413759,15519.746052597546,0.0,0.0,0.0,0.0,1282867.6903788315,867591.1068655204,6000000.0,6867591.106865521
62,1384909.7965201894,0.0,0.0,0.0,33921.73065782034,15830.140973649495,0.0,0.0,0.0,0.0,1335157.9248887196,902294.7511401412,6000000.0,6902294.751140141
63,1440306.188380997,0.0,0.0,0.0,34600.16527097675,16146.743793122485,0.0,0.0,0.0,0.0,1389559.2793168977,938386.5411857468,6000000.0,6938386.541185747
64,1497918.4359162368,0.0,0.0,0.0,35292.16857639629,16469.678668984936,0.0,0.0,0.0,0.0,1446156.5886708556,975922.0028331766,6000000.0,6975922.002833176
65,0.0,0.0,0.0,0.0,35998.01194792422,16799.072242364633,0.0,0.0,150000.0,153750.0,97202.91580971115,1014958.8829465037,6000000.0,6861208.882946503
66,0.0,0.0,0.0,0.0,36717.9721868827,17135.053687211926,0.0,0.0,150000.0,311343.75,96146.97412590537,1055557.238264364,6000000.0,6744213.488264364
67,0.0,0.0,0.0,0.0,37452.331630620356,17477.75476095617,0.0,0.0,150000.0,472877.34374999994,95069.91360842348,1097779.5277949385,6000000.0,6624902.184044939
68,0.0,0.0,0.0,0.0,38201.37826323276,17827.30985617529,0.0,0.0,150000.0,638449.27734375,93971.31188059195,1141690.7089067362,6000000.0,6503241.431562986
69,0.0,0.0,0.0,0.0,38965.405828497416,18183.856053298794,0.0,0.0,150000.0,808160.5092773436,92850.7381182038,1187358.3372630058,6000000.0,6379197.827985662
70,0.0,0.0,0.0,0.0,39744.713945067364,18547.53317436477,0.0,0.0,150000.0,982114.5220092771,91707.75288056786,1234852.670753526,6000000.0,6252738.148744249
71,0.0,0.0,0.0,0.0,40539.60822396872,18918.48383785207,0.0,0.0,150000.0,1160417.3850595092,90541.90793817921,1284246.777583667,6000000.0,6123829.392524158
72,0.0,0.0,0.0,0.0,41350.40038844809,19296.85351460911,0.0,0.0,150000.0,1343177.8196859967,89352.7460969428,1335616.648687014,6000000.0,5992438.829001018
73,0.0,0.0,0.0,0.0,42177.408396217055,19682.790584901293,0.0,0.0,150000.0,1530507.2651781465,88139.80101888166,1389041.3146344945,6000000.0,5858534.049456348
74,0.0,0.0,0.0,0.0,43020.956564141394,20076.44639659932,0.0,0.0,150000.0,1722519.9468076,86902.59703925929,1444602.9672198743,6000000.0,5722083.020412274
75,0.0,0.0,0.0,0.0,43881.37569542423,20477.975324531304,0.0,731356.2615904037,150000.0,1919332.94547779,-645715.6126103593,856671.47329831,6000000.0,4937338.52782052
76,0.0,0.0,0.0,0.0,44759.00320933271,20887.53483102193,0.0,0.0,150000.0,2121066.2691147346,84353.46195964536,890938.3322302424,6000000.0,4769872.063115507
77,0.0,0.0,0.0,0.0,45654.18327351936,21305.28552764237,0.0,0.0,150000.0,2327842.9258426027,83040.53119883827,926575.8655194521,6000000.0,4598732.939676849
78,0.0,0.0,0.0,0.0,46567.26693898976,21731.39123819522,0.0,0.0,150000.0,2539788.9989886675,81701.34182281503,963638.9001402303,6000000.0,4423849.901151563
79,0.0,0.0,0.0,0.0,47498.61227776955,22166.019062959123,0.0,0.0,150000.0,2757033.723963384,80335.36865927133,1002184.4561458395,6000000.0,4245150.732182456
80,0.0,0.0,0.0,0.0,48448.58452332494,22609.339444218305,0.0,0.0,150000.0,2979709.5670624683,78942.07603245675,1042271.8343916731,6000000.0,4062562.267329205
81,0.0,0.0,0.0,0.0,49417.55621379144,23061.526233102675,0.0,0.0,150000.0,3207952.30623903,77520.91755310589,1083962.7077673401,6000000.0,3876010.4015283105
82,0.0,0.0,0.0,0.0,50405.90733806727,23522.756757764728,0.0,0.0,150000.0,3441901.113895005,76071.335904168,1127321.2160780337,6000000.0,3685420.1021830286
83,0.0,0.0,0.0,0.0,51414.02548482861,23993.211892920022,0.0,0.0,150000.0,3681698.64174238,74592.76262225136,1172414.064721155,6000000.0,3490715.422978775
84,0.0,0.0,0.0,0.0,52442.30599452519,24473.076130778427,0.0,0.0,150000.0,3927491.1077859392,73084.61787469639,1219310.6273100013,6000000.0,3291819.519524062
85,0.0,0.0,0.0,0.0,53491.152114415694,24962.537653393993,0.0,0.0,0.0,4025678.3854805874,-78453.68976780969,1189629.3626345918,6000000.0,3163950.9771540044
