age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
43,657336.9429100263,303426.6874244615,0.0,-70872.61195227492,232554.07547218655,232554.07547218655,424782.86743783974,1974497.1590174465,1974497.1590174465
44,683630.4206264273,303426.6874244615,0.0,-70189.5876513953,233237.09977306618,233237.09977306618,450393.3208533611,2042522.3724972727,2042522.3724972727
45,710975.6374514845,321905.37268861115,0.0,315788.9133685912,637694.2860572024,637694.2860572024,73281.35139428207,2501287.851940673,2501287.851940673
46,739414.6629495439,321905.37268861115,0.0,-87260.96964601267,234644.40304259848,234644.40304259848,504770.2599069454,2589117.031930507,2589117.031930507
47,768991.2494675256,341509.4098853476,0.0,-106140.17599046126,235369.23389488633,235369.23389488633,533622.0155726393,2664215.0481751813,2664215.0481751813
48,799750.8994462267,341509.4098853476,0.0,-105400.84852112766,236108.56136421993,236108.56136421993,563642.3380820067,2745309.2530263164,2745309.2530263164
49,831740.9354240757,362307.33294736524,0.0,-125444.657564425,236862.67538294024,236862.67538294024,594878.2600411355,2812036.243173734,2812036.243173734
50,865010.5728410388,362307.33294736524,0.0,-124675.46126533035,237631.8716820349,237631.8716820349,627378.7011590039,2884203.3189305654,2884203.3189305654
51,899610.9957546804,384371.8495238598,0.0,-145955.39761674832,238416.45190711148,238416.45190711148,661194.5438475689,2940142.153638957,2940142.153638957
52,935595.4355848677,384371.8495238598,0.0,-145155.12578717023,239216.72373668957,239216.72373668957,696378.7118481782,3000796.978606514,3000796.978606514
53,973019.2530082624,407780.0951598628,0.0,-167747.0941570035,240033.00100285927,240033.00100285927,732986.2520054032,3043105.672951967,3043105.672951967
54,1011940.023128593,407780.0951598628,0.0,-166914.49134551047,240865.6038143523,240865.6038143523,771074.4193142407,3089208.5787130943,3089208.5787130943
55,1052417.6240537367,432613.9029550984,0.0,-190899.0442730232,241714.85868207522,241714.85868207522,810702.7653716614,3114554.134949988,3114554.134949988
56,1094514.3290158862,432613.9029550984,0.0,-190032.80430794583,242581.0986471526,242581.0986471526,851933.2303687336,3142540.1200885414,3142540.1200885414
57,1138294.9021765217,458960.0896450639,0.0,-215495.4262335324,243464.6634115315,243464.6634115315,894830.2387649901,3147022.502261207,3147022.502261207
58,1183826.6982635825,458960.0896450639,0.0,-214594.19017386588,244365.89947119803,244365.89947119803,939460.7987923844,3152719.8872456257,3152719.8872456257
59,1231179.766194126,486910.7591044483,0.0,-241625.59885239045,245285.16025205786,245285.16025205786,985894.6059420682,3131784.680500429,3131784.680500429
60,1280426.956841891,486910.7591044483,0.0,104317.66194688663,591228.4210513349,591228.4210513349,689198.5357905559,3455327.270082346,3455327.270082346
61,1331644.0351155666,516563.6243339092,0.0,-467787.279597174,48776.34473673514,48776.34473673516,1282867.6903788312,3229412.899390937,3229412.899390937
62,1384909.7965201894,516563.6243339092,0.0,-466811.7527024393,49751.87163146984,49751.87163146987,1335157.9248887193,2988660.0496458635,2988660.0496458635
63,1440306.188380997,548022.3490558442,0.0,-497275.439991745,50746.909064099236,50746.90906409925,1389559.2793168977,2700590.813129329,2700590.813129329
64,1497918.4359162368,548022.3490558442,0.0,-496260.501810463,51761.84724538123,51761.847245381214,1446156.5886708556,2393371.668237919,2393371.668237919
65,0.0,581396.9101133451,0.0,0.0,0.0,581396.9101133451,-581396.9101133451,1979510.7749012283,1979510.7749012283
66,0.0,581396.9101133451,0.0,0.0,0.0,581396.9101133451,-581396.9101133451,1536679.6190309695,1536679.6190309695
67,0.0,616803.9819392478,0.0,0.0,0.0,616803.9819392478,-616803.9819392478,1027443.2104238896,1027443.2104238896
68,0.0,616803.9819392478,0.0,0.0,0.0,616803.9819392478,-616803.9819392478,482560.2532143141,482560.2532143141
69,0.0,654367.344439348,0.0,0.0,0.0,654367.344439348,-654367.344439348,-138027.87350003183,-138027.87350003183
70,0.0,654367.344439348,0.0,0.0,0.0,654367.344439348,-654367.344439348,-802057.169084382,-802057.169084382
71,0.0,694218.3157157043,0.0,0.0,0.0,694218.3157157043,-694218.3157157043,-1552419.4866359932,-1552419.4866359932
72,0.0,694218.3157157043,0.0,0.0,0.0,694218.3157157043,-694218.3157157043,-2355307.166416217,-2355307.166416217
73,0.0,736496.2111427907,0.0,0.0,0.0,736496.2111427907,-736496.2111427907,-3256674.879208143,-3256674.879208143
74,0.0,736496.2111427907,0.0,0.0,0.0,736496.2111427907,-736496.2111427907,-4221138.331895504,-4221138.331895504
75,0.0,781348.8304013866,0.0,0.0,0.0,781348.8304013866,-781348.8304013866,-5297966.845529577,-5297966.845529577
76,0.0,781348.8304013866,0.0,0.0,0.0,781348.8304013866,-781348.8304013866,-6450173.355118034,-6450173.355118034
77,0.0,828932.9741728309,0.0,0.0,0.0,828932.9741728309,-828932.9741728309,-7730618.464149128,-7730618.464149128
78,0.0,828932.9741728309,0.0,0.0,0.0,828932.9741728309,-828932.9741728309,-9100694.730812399,-9100694.730812399
79,0.0,879414.9922999563,0.0,0.0,0.0,879414.9922999563,-879414.9922999563,-10617158.354269225,-10617158.354269225
80,0.0,879414.9922999563,0.0,0.0,0.0,879414.9922999563,-879414.9922999563,-12239774.431368027,-12239774.431368027
81,0.0,932971.3653310236,0.0,0.0,0.0,932971.3653310236,-932971.3653310236,-14029530.006894814,-14029530.006894814
82,0.0,932971.3653310236,0.0,0.0,0.0,932971.3653310236,-932971.3653310236,-15944568.472708475,-15944568.472708475
83,0.0,989789.3214796828,0.0,0.0,0.0,989789.3214796828,-989789.3214796828,-18050477.58727775,-18050477.58727775
84,0.0,989789.3214796828,0.0,0.0,0.0,989789.3214796828,-989789.3214796828,-20303800.339866877,-20303800.339866877
85,0.0,1050067.4911577955,0.0,0.0,0.0,1050067.4911577955,-1050067.4911577955,-22775133.854815356,-22775133.854815356
