age,buy_net_worth,rent_net_worth
30,6257206.283090733,1060524.9339886804
40,8444226.406654881,2627748.7020368837
50,11400238.047430199,6092957.840312297
60,15397797.045277897,12495043.256375575
65,17465502.256816037,16332357.030289728
85,20757559.580041695,51879085.97453623
